DS_Name,T,N,p,k,Bin,Cost,SDratio,correl,cancor1,cancor2,fract1,fract2,skewness,kurtosis,Hc,Hx,MCx,EnAtr,NSRatio,Alg_Name,target
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Smart,48.987
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Cn2,13.359
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,RBF,33.388
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Dipol92,18.104
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,LVQ,4.334
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,QuaDisc,808.031
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,KNN,10.888
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Smart,17.368
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Kohonen,15.477
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,LogDisc,3.421
Credit,2670.0,8900.0,16.0,2.0,8.0,0.0,1.0273,0.0825,0.7618,,1.0,,1.2082,4.4046,1.0,1.77,0.641,1.56006,1.76131,NewId,9.523
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Castle,5.384
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,C4_5,2.702
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Alloc80,10.311
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,IndCART,12.819
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,Castle,456.399
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,LVQ,3.341
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,Bayes,20.521
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Dipol92,0.067
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,Castle,24.395
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,C4_5,0.954
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,QuaDisc,3.388
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Ac2,3.893
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,Default,24.057
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,LVQ,6.027
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,RBF,1.09
Chromosone,20000.0,40000.0,16.0,24.0,0.0,0.0,1.3218,0.1885,0.9884,0.9191,0.1505,0.2807,0.42,4.4024,4.5603,5.6411,1.3149,3.46817,3.29014,QuaDisc,0.0
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Smart,2.848
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,Ac2,100.289
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Dipol92,0.081
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,IndCART,6.911
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,Castle,0.974
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,LVQ,5.138
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Kohonen,3.329
Credit,2670.0,8900.0,16.0,2.0,8.0,0.0,1.0273,0.0825,0.7618,,1.0,,1.2082,4.4046,1.0,1.77,0.641,1.56006,1.76131,Kohonen,20.951
Aust_Credit,690.0,690.0,14.0,2.0,4.0,0.0,1.2623,0.1024,0.7713,,1.0,,1.9701,12.5538,0.9912,2.3012,0.113,8.77168,19.3646,IndCART,1.635
Faults,570.0,570.0,45.0,3.0,43.0,0.0,1.191,0.751,0.8842,0.3002,0.8966,1.0,1.8972,0.9866,1.5749,0.8717,0.0366,43.0301,22.8169,Dipol92,1.071
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,IndCART,4.518
TseTse,1499.0,4999.0,14.0,2.0,0.0,0.0,1.1316,0.3676,0.7792,,1.0,,0.6483,4.3322,0.9998,3.8755,0.285,3.50807,12.5982,Alloc80,4.364
BT,16000.0,20000.0,7.0,2.0,0.0,0.0,1.0975,0.1146,0.6109,,1.0,,6.1012,93.1399,0.2893,2.7416,0.0495,5.84444,54.3859,RBF,9.939
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,QuaDisc,25.77
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,BayesTree,96.901
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,LogDisc,49.114
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,Alloc80,161.514
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,IndCART,0.279
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,Dipol92,56.598
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Bayes,33.235
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,BayesTree,7.431
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,KNN,6.724
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,Cascade,37.27
German_Credit,1000.0,1000.0,24.0,2.0,9.0,1.0,1.0369,0.0848,0.5044,,1.0,,1.6986,7.7943,0.8813,1.5031,0.0187,47.1283,79.3797,QuaDisc,2.569
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,NewId,12.056
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Default,76.244
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,Castle,14.238
Belgian,1250.0,2500.0,28.0,2.0,0.0,0.0,1.5124,0.3503,0.8869,,1.0,,0.4334,2.6581,0.9453,5.4853,0.3172,2.98014,16.2929,QuaDisc,21.059
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,Cal5,3.629
Heart,270.0,270.0,13.0,2.0,5.0,1.0,1.0612,0.1236,0.7384,,1.0,,0.956,3.6494,0.9902,1.6386,0.0876,11.3037,17.7055,RBF,5.916
Diabetes,768.0,768.0,8.0,2.0,0.0,0.0,1.0377,0.1439,0.5507,,1.0,,1.0586,5.827,0.9331,4.5301,0.112,8.33125,39.4473,Cascade,51.73
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,Ac2,52.292
Shuttle,14500.0,58000.0,9.0,7.0,0.0,0.0,1.6067,0.3558,0.9668,0.6968,0.6252,0.9499,4.4371,160.311,0.9653,3.4271,0.3348,2.88321,9.23626,C4_5,10.838
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,BackProp,2.513
Digits,9000.0,18000.0,16.0,10.0,0.0,0.0,1.5673,0.2119,0.8929,0.8902,0.2031,0.4049,0.8562,5.1256,3.3219,6.5452,0.5049,6.57932,11.9634,Bayes,83.376
Letters,5000.0,20000.0,16.0,26.0,0.0,0.0,1.8795,0.2577,0.8896,0.8489,0.168,0.321,0.5698,3.5385,4.6996,3.094,0.5189,9.05685,4.96261,CART,270.416
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,Smart,6.198
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,Cn2,9.379
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,CART,2.817
Vehicle,846.0,846.0,18.0,4.0,0.0,0.0,1.5392,0.4828,0.842,0.8189,0.4696,0.9139,0.8282,5.18,1.9979,4.2472,0.3538,5.64698,11.0045,Alloc80,1.874
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,BayesTree,9.379
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,C4_5,1.396
CUT,7480.0,18700.0,20.0,2.0,0.0,0.0,1.032,0.2178,0.55,,1.0,,0.9012,3.5214,0.3256,4.6908,0.0292,160.644,159.644,ITrule,22.907
DNA,1186.0,3186.0,180.0,3.0,0.0,0.0,1.5407,0.0456,0.8729,0.83,0.5252,1.0,2.5582,29.5674,1.4725,0.8072,0.0218,67.5459,36.0275,C4_5,6.079
NewBelgian,1000.0,3000.0,57.0,2.0,0.0,0.0,1.0638,0.1216,0.5286,,1.0,,1.118,6.7738,0.3879,3.83,0.0421,9.21378,89.9739,Cascade,275.541
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,Smart,25.072
Technical,2580.0,7078.0,56.0,91.0,0.0,0.0,2.2442,,0.9165,0.6818,0.5575,0.866,6.7156,108.296,4.8787,0.3672,0.1815,26.8799,1.02314,C4_5,5.325
Head,900.0,900.0,6.0,3.0,1.0,1.0,1.1231,0.1217,0.7176,0.1057,0.9787,1.0,1.0071,5.0408,1.3574,1.9786,0.1929,7.03681,9.25713,Kohonen,60.68
KlDigits,9000.0,18000.0,40.0,10.0,0.0,0.0,1.9657,0.1093,0.9207,0.9056,0.172,0.3385,0.1802,2.92,3.3219,5.5903,0.2029,16.3721,26.552,NewId,96.224
Segment,2310.0,2310.0,11.0,7.0,0.0,0.0,4.0014,0.1425,0.976,0.9623,0.3098,0.611,2.958,24.4813,2.8072,3.0787,0.6672,4.20743,3.61436,Bayes,66.211
